iter	RMSE
265	14742.9054
266	14710.90644
267	14695.63645
268	14664.94049
269	14622.78484
270	14590.53438
271	14559.69462
272	14531.78207
273	14492.81287
274	14474.55109
275	14447.99695
276	14424.71548
277	14386.97403
278	14349.19316
279	14335.25759
280	14309.18973
281	14280.59732
282	14253.2808
283	14239.32236
284	14224.51319
285	14181.70229
286	14150.40803
287	14121.50632
288	14094.15509
289	14060.7199
290	14032.19641
291	14026.27677
292	14003.85447
293	13994.89805
294	13969.81743
295	13956.83039
296	13924.43784
297	13906.72454
298	13857.20611
299	13828.38153
300	13810.13995
301	13781.15481
302	13748.90805
303	13721.5282
304	13687.70731
305	13663.82508
306	13645.51305
307	13608.24145
308	13583.17708
309	13567.97257
310	13539.2555
311	13498.22104
312	13482.67157
313	13449.34403
314	13440.30348
315	13427.53111
316	13401.0659
317	13385.9978
318	13372.67739
319	13358.53173
320	13333.18211
321	13320.76417
322	13287.43389
323	13253.30027
324	13231.12284
325	13205.93306
326	13176.4888
327	13153.46202
328	13138.60569
329	13131.5981
330	13107.72791
331	13091.4521
332	13074.87535
333	13067.96414
334	13058.42017
335	13033.19061
336	13024.4617
337	13009.10372
338	12982.82805
339	12962.14306
340	12943.85256
341	12914.69796
342	12900.17748
343	12875.04327
344	12847.87995
345	12826.14214
346	12802.78246
347	12771.35996
348	12735.18503
349	12710.56973
350	12681.40971
351	12669.28469
352	12652.16322
353	12640.89327
354	12614.10548
355	12591.85108
356	12567.367
357	12559.48817
358	12551.58907
359	12534.70447
360	12525.84028
361	12518.2022
362	12486.24512
363	12475.13035
364	12446.79375
365	12421.85195
366	12384.65353
367	12374.58289
368	12355.61813
369	12326.8316
370	12296.12236
371	12277.57079
372	12259.88923
373	12231.05152
374	12199.83075
375	12165.93079
376	12140.16797
377	12106.14322
378	12081.99352
379	12069.25332
380	12045.57576
381	12016.94198
382	11997.24745
383	11959.81627
384	11930.35647
385	11905.94017
386	11884.59492
387	11855.99103
388	11832.20125
389	11823.27437
390	11818.82812
391	11801.02958
392	11785.67222
393	11780.96117
394	11754.80555
395	11729.78201
396	11698.5067
397	11679.81714
398	11654.92252
399	11630.82824
400	11622.59841
401	11618.61762
402	11609.99407
403	11581.69579
404	11570.1353
405	11547.45783
406	11520.32851
407	11508.74738
408	11484.28536
409	11457.69462
410	11439.16864
411	11415.95393
412	11398.36458
413	11380.19989
414	11367.20859
415	11338.54447
416	11317.58132
417	11301.68684
418	11291.84742
419	11276.21839
420	11250.15851
421	11246.48778
422	11239.82726
423	11222.66495
424	11201.79687
425	11170.16737
426	11138.89184
427	11113.67947
428	11094.80625
429	11068.34421
430	11060.06427
431	11035.37756
432	11006.91836
433	10986.37899
434	10969.50879
435	10948.82925
436	10932.23244
437	10914.3371
438	10906.85555
439	10886.96226
440	10883.40177
441	10880.09499
442	10861.12793
443	10845.61967
444	10841.55604
445	10825.93274
446	10806.17716
447	10787.59824
448	10765.30201
449	10750.65101
450	10736.04552
451	10720.38532
452	10717.07075
453	10703.7591
454	10700.97639
455	10682.03286
456	10661.94592
457	10641.59341
458	10627.88271
459	10614.29676
460	10597.95478
461	10575.9673
462	10561.2497
463	10553.66797
464	10536.54264
465	10521.50576
466	10503.97737
467	10488.12068
468	10460.47007
469	10454.62043
470	10433.41779
471	10414.76188
472	10397.18535
473	10370.19562
474	10368.48001
475	10346.03528
476	10331.72746
477	10320.43175
478	10297.60101
479	10281.92465
480	10280.12393
481	10259.92226
482	10242.31689
483	10220.77939
484	10201.39643
485	10178.05535
486	10161.06491
487	10143.87739
488	10128.28186
489	10106.27716
490	10096.99975
491	10082.40341
492	10062.73874
493	10055.77853
494	10053.29599
495	10039.67945
496	10021.35092
497	9998.684449
498	9983.347039
499	9981.171704
500	9969.369244
501	9965.754788
502	9949.098036
503	9942.13574
504	9932.293043
505	9915.23093
506	9903.219837
507	9896.180067
508	9879.392929
509	9866.282541
510	9847.008396
511	9830.70653
512	9818.427791
513	9809.937529
514	9791.65877
515	9771.025909
516	9756.384375
517	9747.259118
518	9732.52234
519	9723.526871
520	9718.031755
521	9704.528701
522	9685.725772
523	9671.830873
524	9651.491257
525	9645.901374
526	9626.612228
527	9615.754613
528	9602.996596
529	9586.719071
530	9584.876569
531	9565.845465
532	9545.141826
533	9530.92575
534	9517.271814
535	9504.358223
536	9491.200936
537	9472.495337
538	9466.889059
539	9452.659404
540	9433.585837
541	9425.57172
542	9401.333695
543	9398.791999
544	9396.755157
545	9382.372383
546	9378.673736
547	9367.748742
548	9365.971725
549	9351.654695
550	9337.212012
551	9308.347578
552	9306.37946
553	9293.817562
554	9283.139987
555	9262.221834
556	9259.696782
557	9241.436304
558	9227.379116
559	9217.852369
560	9203.518652
561	9181.72947
562	9171.790515
563	9157.358531
564	9143.504778
565	9131.199517
566	9117.759266
567	9116.149062
568	9102.826189
569	9090.612862
570	9084.186267
571	9069.187564
572	9059.170578
573	9046.013187
574	9035.55169
575	9019.849771
576	9004.493497
577	8991.344228
578	8975.764444
579	8965.522539
580	8953.889863
581	8940.413132
582	8922.084815
583	8902.359571
584	8879.331191
585	8870.803692
586	8869.12139
587	8860.243871
588	8847.490498
589	8832.876902
590	8824.687687
591	8816.238837
592	8806.082856
593	8786.34026
594	8784.309007
595	8771.538172
596	8754.967064
597	8742.821117
598	8728.680304
599	8721.691387
600	8714.308312
601	8701.046767
602	8685.187211
603	8673.08248
604	8668.5564
605	8645.747793
606	8630.501575
607	8620.736932
608	8619.272808
609	8617.965932
610	8608.415122
611	8596.522267
612	8589.7277
613	8575.060407
614	8560.143916
615	8549.730464
616	8543.336325
617	8539.027151
618	8533.640261
619	8526.416802
620	8519.97886
621	8505.910386
622	8499.995158
623	8493.996096
624	8492.506487
625	8473.470115
626	8455.652363
627	8453.701247
628	8441.599108
629	8434.113275
630	8428.410767
631	8409.381174
632	8394.211266
633	8382.817046
634	8369.032738
635	8357.653483
636	8347.832352
637	8334.042351
638	8327.296833
639	8319.395024
640	8317.117541
641	8298.928277
642	8291.492684
643	8282.117068
644	8271.138638
645	8266.282035
646	8249.984219
647	8237.749822
648	8232.468774
649	8226.598367
650	8210.565701
651	8193.888153
652	8183.640094
653	8169.350849
654	8160.564927
655	8153.333014
656	8151.745293
657	8133.077465
658	8121.412462
659	8109.586008
660	8108.188325
661	8098.446884
662	8087.446695
663	8076.618384
664	8064.791625
665	8047.508392
666	8034.203019
667	8025.514363
668	8011.527508
669	8005.282028
670	7990.340498
671	7989.242677
672	7977.350457
673	7969.769468
674	7952.866279
675	7943.42274
676	7930.730471
677	7926.197347
678	7917.029623
679	7910.154671
680	7897.909671
681	7891.67582
682	7878.781821
683	7867.16885
684	7865.952654
685	7864.86874
686	7853.694767
687	7840.247195
688	7839.027415
689	7826.129166
690	7814.544152
691	7807.605092
692	7799.247074
693	7798.176878
694	7797.050589
695	7788.77896
696	7775.079608
697	7767.171323
698	7766.144289
699	7758.465688
700	7752.259526
701	7738.812797
702	7729.179818
703	7723.961141
704	7716.869699
705	7714.212312
706	7706.022142
707	7686.134934
708	7681.843414
709	7673.40912
710	7666.145016
711	7663.803322
712	7652.290111
713	7646.602176
714	7640.74168
715	7632.843322
716	7614.147755
717	7613.211292
718	7608.245749
719	7607.309191
720	7599.137471
721	7590.072836
722	7575.526496
723	7560.59225
724	7553.632449
725	7543.005705
726	7528.639572
727	7527.214724
728	7522.05829
729	7501.74407
730	7495.483587
731	7492.042916
732	7484.786902
733	7472.103222
734	7454.921132
735	7443.388555
736	7435.427769
737	7429.494584
738	7424.523013
739	7409.033089
740	7401.958828
741	7388.721991
742	7378.702985
743	7372.139868
744	7358.697168
745	7357.780716
746	7354.833437
747	7342.447501
748	7329.401567
749	7323.298452
750	7322.379793
751	7312.107284
752	7296.13217
753	7289.176622
754	7287.981765
755	7283.237543
756	7282.27578
757	7274.536061
758	7273.645279
759	7256.15066
760	7254.551983
761	7240.596844
762	7226.913341
763	7217.098713
764	7202.67383
765	7201.976132
766	7195.089733
767	7182.231031
768	7174.09917
769	7162.880093
770	7154.57118
771	7138.697084
772	7124.966581
773	7114.85209
774	7104.033703
775	7099.312607
776	7081.377155
777	7069.082523
778	7055.424665
779	7047.605098
780	7035.364363
781	7017.744251
782	7012.069098
783	7011.324265
784	7002.978327
785	6989.805267
786	6985.345084
787	6978.21841
788	6968.685718
789	6961.103793
790	6944.98551
791	6939.402364
792	6929.383749
793	6923.054555
794	6917.141273
795	6911.90892
796	6903.310103
797	6900.100773
798	6895.338654
799	6886.533413
800	6881.962034
801	6877.322998
802	6866.041193
803	6862.211528
804	6853.754986
805	6841.877337
806	6837.700558
807	6830.490593
808	6824.660029
809	6814.904871
810	6808.652834
811	6807.138189
812	6800.696643
813	6795.259569
814	6788.05492
815	6785.242196
816	6775.317185
817	6763.866596
818	6749.938695
819	6746.376093
820	6745.466645
821	6742.237456
822	6736.790331
823	6734.855697
824	6734.143294
825	6719.060525
826	6712.208922
827	6709.623646
828	6704.773133
829	6699.611555
830	6692.553164
831	6685.307557
832	6680.18479
833	6672.402791
834	6669.280159
835	6660.388752
836	6649.292177
837	6632.022443
838	6622.380038
839	6616.365163
840	6607.4643
841	6598.538554
842	6594.611382
843	6586.31886
844	6581.365744
845	6573.368537
846	6571.20932
847	6564.743706
848	6559.948329
849	6552.11532
850	6548.732724
851	6543.395499
852	6533.417082
853	6525.81724
854	6522.121927
855	6516.149916
856	6507.444828
857	6506.65026
858	6497.679861
859	6492.975762
860	6480.496199
861	6473.046986
862	6472.179716
863	6470.909124
864	6460.589666
865	6459.633149
866	6453.514715
867	6450.819552
868	6441.173664
869	6440.206449
870	6430.843147
871	6426.266515
872	6415.81572
873	6413.2212
874	6406.740474
875	6403.180935
876	6397.821686
877	6395.346393
878	6390.246765
879	6386.9235
880	6376.924543
881	6372.564484
882	6367.881888
883	6365.46719
884	6364.554017
885	6359.890016
886	6349.726422
887	6339.694804
888	6330.529397
889	6319.24901
890	6311.945336
891	6308.17264
892	6293.84384
893	6285.620302
894	6284.973415
895	6271.496177
896	6268.297104
897	6253.680332
898	6239.63413
899	6232.795837
900	6221.572564
901	6209.054413
902	6200.207126
903	6188.794417
904	6183.498922
905	6177.414857
906	6176.783882
907	6173.200262
908	6169.666833
909	6161.42326
910	6160.879555
911	6152.749943
912	6143.053522
913	6140.025984
914	6128.482207
915	6114.512727
916	6105.854307
917	6102.659717
918	6090.622784
919	6089.800703
920	6082.608947
921	6069.924552
922	6060.407956
923	6052.85196
924	6048.690593
925	6045.296881
926	6027.970387
927	6015.606455
928	6013.69335
929	6012.433718
930	6010.715219
931	6001.998501
932	5993.029574
933	5988.489796
934	5982.943108
935	5978.421455
936	5977.229226
937	5969.1006
938	5960.307079
939	5951.866558
940	5942.564053
941	5932.492631
942	5925.734836
943	5918.31444
944	5912.988545
945	5910.208708
946	5901.75088
947	5888.976881
948	5886.273655
949	5882.920227
950	5878.675224
951	5870.353054
952	5867.931732
953	5860.049379
954	5859.197499
955	5850.011724
956	5843.901576
957	5843.168838
958	5838.420439
959	5835.417528
960	5826.008698
961	5823.271698
962	5818.56138
963	5812.370925
964	5806.116061
965	5798.229807
966	5789.121556
967	5787.081362
968	5778.52349
969	5773.440746
970	5763.540091
971	5753.92469
972	5750.62441
973	5748.645369
974	5742.247835
975	5735.783121
976	5727.587962
977	5726.925376
978	5720.895495
979	5709.770845
980	5700.394407
981	5686.718556
982	5674.403422
983	5670.309822
984	5663.476275
985	5661.533658
986	5652.213774
987	5645.230557
988	5637.123507
989	5633.235387
990	5620.847935
991	5610.00941
992	5602.960633
993	5599.58179
994	5595.383183
995	5594.71417
996	5586.135274
997	5578.044364
998	5577.560181
999	5563.814126
